particle_count,workgroup_size,frame,dispatch_ns
2097152,32,0,80720
2097152,32,1,88880
2097152,32,2,79880
2097152,32,3,90160
2097152,32,4,87920
2097152,32,5,84200
2097152,32,6,76880
2097152,32,7,82360
2097152,32,8,81840
2097152,32,9,82720
2097152,32,10,83800
2097152,32,11,81040
2097152,32,12,81560
2097152,32,13,82000
2097152,32,14,76680
2097152,32,15,93240
2097152,32,16,76040
2097152,32,17,91160
2097152,32,18,74960
2097152,32,19,89920
2097152,32,20,77200
2097152,32,21,85280
2097152,32,22,77080
2097152,32,23,81800
2097152,32,24,87680
2097152,32,25,82320
2097152,32,26,85440
2097152,32,27,81960
2097152,32,28,75320
2097152,32,29,88480
2097152,32,30,75560
2097152,32,31,80400
2097152,32,32,83480
2097152,32,33,81240
2097152,32,34,90440
2097152,32,35,82080
2097152,32,36,76120
2097152,32,37,88280
2097152,32,38,75520
2097152,32,39,80120
2097152,32,40,81600
2097152,32,41,81880
2097152,32,42,76120
2097152,32,43,89880
2097152,32,44,76240
2097152,32,45,80800
2097152,32,46,81600
2097152,32,47,81440
2097152,32,48,75480
2097152,32,49,89040
2097152,32,50,77000
2097152,32,51,81160
2097152,32,52,85320
2097152,32,53,82600
2097152,32,54,76200
2097152,32,55,91560
2097152,32,56,76520
2097152,32,57,81280
2097152,32,58,85800
2097152,32,59,81600
2097152,32,60,75880
2097152,32,61,88800
2097152,32,62,76600
2097152,32,63,91840
2097152,32,64,76120
2097152,32,65,80800
2097152,32,66,88400
2097152,32,67,80880
2097152,32,68,76160
2097152,32,69,89160
2097152,32,70,77200
2097152,32,71,80120
2097152,32,72,84000
2097152,32,73,82200
2097152,32,74,90320
2097152,32,75,80680
2097152,32,76,76040
2097152,32,77,90200
2097152,32,78,76720
2097152,32,79,80400
2097152,32,80,83160
2097152,32,81,82520
2097152,32,82,75960
2097152,32,83,90320
2097152,32,84,78400
2097152,32,85,96640
2097152,32,86,77360
2097152,32,87,81480
2097152,32,88,87160
2097152,32,89,82640
2097152,32,90,75600
2097152,32,91,87720
2097152,32,92,77280
2097152,32,93,82200
2097152,32,94,86360
2097152,32,95,82280
2097152,32,96,75760
2097152,32,97,89920
2097152,32,98,75760
2097152,32,99,80960
2097152,32,100,85520
2097152,32,101,83280
2097152,32,102,76280
2097152,32,103,91000
2097152,32,104,77560
2097152,32,105,81160
2097152,32,106,83400
2097152,32,107,81800
2097152,32,108,76360
2097152,32,109,93080
2097152,32,110,76200
2097152,32,111,80400
2097152,32,112,86360
2097152,32,113,82360
2097152,32,114,75960
2097152,32,115,91240
2097152,32,116,77440
2097152,32,117,81280
2097152,32,118,88280
2097152,32,119,83080
2097152,32,120,76960
2097152,32,121,92200
2097152,32,122,78800
2097152,32,123,80600
2097152,32,124,85080
2097152,32,125,82440
2097152,32,126,75560
2097152,32,127,91840
2097152,32,128,77800
2097152,32,129,81480
2097152,32,130,87360
2097152,32,131,82880
2097152,32,132,87360
2097152,32,133,82320
2097152,32,134,76640
2097152,32,135,91480
2097152,32,136,77400
2097152,32,137,80480
2097152,32,138,89240
2097152,32,139,81360
2097152,32,140,78920
2097152,32,141,91840
2097152,32,142,77880
2097152,32,143,94760
2097152,32,144,78120
2097152,32,145,81040
2097152,32,146,92760
2097152,32,147,83800
2097152,32,148,86080
2097152,32,149,82360
2097152,32,150,76240
2097152,32,151,98960
2097152,32,152,78080
2097152,32,153,80880
2097152,32,154,86480
2097152,32,155,82680
2097152,32,156,94600
2097152,32,157,82720
2097152,32,158,76520
2097152,32,159,89920
2097152,32,160,77560
2097152,32,161,90160
2097152,32,162,79360
2097152,32,163,80880
2097152,32,164,87080
2097152,32,165,82480
2097152,32,166,76640
2097152,32,167,90440
2097152,32,168,77600
2097152,32,169,95360
2097152,32,170,78840
2097152,32,171,81120
2097152,32,172,84560
2097152,32,173,82920
2097152,32,174,78760
2097152,32,175,93800
2097152,32,176,82480
2097152,32,177,85520
2097152,32,178,92720
2097152,32,179,85920
2097152,32,180,81680
2097152,32,181,96680
2097152,32,182,85400
2097152,32,183,85400
2097152,32,184,92800
2097152,32,185,87440
2097152,32,186,82760
2097152,32,187,95240
2097152,32,188,84680
2097152,32,189,86040
2097152,32,190,90800
2097152,32,191,171480
2097152,32,192,151080
2097152,32,193,96840
2097152,32,194,87240
2097152,32,195,92480
2097152,32,196,92640
2097152,32,197,86000
2097152,32,198,85040
2097152,32,199,164840
