particle_count,workgroup_size,frame,dispatch_ns
16384,32,0,4040
16384,32,1,3440
16384,32,2,3040
16384,32,3,2760
16384,32,4,2720
16384,32,5,2760
16384,32,6,2840
16384,32,7,2880
16384,32,8,2680
16384,32,9,2680
16384,32,10,2680
16384,32,11,2640
16384,32,12,2640
16384,32,13,2760
16384,32,14,2680
16384,32,15,3000
16384,32,16,2960
16384,32,17,2640
16384,32,18,2840
16384,32,19,2640
16384,32,20,2680
16384,32,21,3000
16384,32,22,2720
16384,32,23,2720
16384,32,24,2760
16384,32,25,2720
16384,32,26,2680
16384,32,27,2800
16384,32,28,2680
16384,32,29,2720
16384,32,30,2880
16384,32,31,2680
16384,32,32,2960
16384,32,33,2720
16384,32,34,2680
16384,32,35,2800
16384,32,36,2720
16384,32,37,2680
16384,32,38,2720
16384,32,39,2720
16384,32,40,2760
16384,32,41,2640
16384,32,42,2680
16384,32,43,2680
16384,32,44,2680
16384,32,45,2720
16384,32,46,2720
16384,32,47,2920
16384,32,48,3120
16384,32,49,2960
16384,32,50,2640
16384,32,51,2640
16384,32,52,2640
16384,32,53,2920
16384,32,54,2720
16384,32,55,2960
16384,32,56,2760
16384,32,57,2760
16384,32,58,2680
16384,32,59,2680
16384,32,60,2760
16384,32,61,2720
16384,32,62,2800
16384,32,63,2680
16384,32,64,2640
16384,32,65,2720
16384,32,66,2720
16384,32,67,2760
16384,32,68,2720
16384,32,69,2760
16384,32,70,2720
16384,32,71,2680
16384,32,72,2720
16384,32,73,2680
16384,32,74,2720
16384,32,75,2680
16384,32,76,2720
16384,32,77,2680
16384,32,78,2680
16384,32,79,2920
16384,32,80,2680
16384,32,81,2680
16384,32,82,2720
16384,32,83,2720
16384,32,84,2680
16384,32,85,2720
16384,32,86,2800
16384,32,87,2680
16384,32,88,2960
16384,32,89,2840
16384,32,90,2640
16384,32,91,2640
16384,32,92,2680
16384,32,93,2720
16384,32,94,2720
16384,32,95,2720
16384,32,96,2840
16384,32,97,2680
16384,32,98,2720
16384,32,99,2680
16384,32,100,2680
16384,32,101,2720
16384,32,102,2720
16384,32,103,2680
16384,32,104,2680
16384,32,105,2680
16384,32,106,2680
16384,32,107,2680
16384,32,108,2720
16384,32,109,2680
16384,32,110,2720
16384,32,111,2720
16384,32,112,2680
16384,32,113,2680
16384,32,114,2680
16384,32,115,2720
16384,32,116,2680
16384,32,117,2720
16384,32,118,2680
16384,32,119,2680
16384,32,120,2680
16384,32,121,2680
16384,32,122,2680
16384,32,123,2640
16384,32,124,2720
16384,32,125,2800
16384,32,126,2960
16384,32,127,2680
16384,32,128,2960
16384,32,129,2960
16384,32,130,2720
16384,32,131,2600
16384,32,132,2640
16384,32,133,2640
16384,32,134,2880
16384,32,135,2840
16384,32,136,2680
16384,32,137,2680
16384,32,138,2920
16384,32,139,2680
16384,32,140,2720
16384,32,141,2640
16384,32,142,2680
16384,32,143,2760
16384,32,144,2680
16384,32,145,2680
16384,32,146,2680
16384,32,147,2760
16384,32,148,2760
16384,32,149,2720
16384,32,150,2680
16384,32,151,2720
16384,32,152,2680
16384,32,153,2680
16384,32,154,2680
16384,32,155,2680
16384,32,156,2680
16384,32,157,2720
16384,32,158,2720
16384,32,159,2720
16384,32,160,2720
16384,32,161,2720
16384,32,162,2720
16384,32,163,2720
16384,32,164,2720
16384,32,165,2720
16384,32,166,2720
16384,32,167,2680
16384,32,168,2960
16384,32,169,3000
16384,32,170,2640
16384,32,171,2640
16384,32,172,2680
16384,32,173,2760
16384,32,174,2720
16384,32,175,2720
16384,32,176,3080
16384,32,177,2680
16384,32,178,2720
16384,32,179,2720
16384,32,180,2720
16384,32,181,2720
16384,32,182,2720
16384,32,183,2760
16384,32,184,2720
16384,32,185,2720
16384,32,186,2680
16384,32,187,3080
16384,32,188,2680
16384,32,189,2800
16384,32,190,2720
16384,32,191,2680
16384,32,192,2680
16384,32,193,2720
16384,32,194,2680
16384,32,195,3040
16384,32,196,2680
16384,32,197,2760
16384,32,198,2680
16384,32,199,2960
16384,32,200,2960
16384,32,201,2720
16384,32,202,2640
16384,32,203,2720
16384,32,204,2680
16384,32,205,2680
16384,32,206,2640
16384,32,207,2720
16384,32,208,2680
16384,32,209,2720
16384,32,210,2760
16384,32,211,2720
16384,32,212,2680
16384,32,213,2720
16384,32,214,2680
16384,32,215,2680
16384,32,216,2680
16384,32,217,2680
16384,32,218,2680
16384,32,219,2720
16384,32,220,2680
16384,32,221,2680
16384,32,222,2680
16384,32,223,2680
16384,32,224,2680
16384,32,225,2720
16384,32,226,2720
16384,32,227,2680
16384,32,228,2720
16384,32,229,2720
16384,32,230,2680
16384,32,231,2800
16384,32,232,2680
16384,32,233,2680
16384,32,234,2640
16384,32,235,2680
16384,32,236,2680
16384,32,237,2720
16384,32,238,2960
16384,32,239,2680
16384,32,240,2680
16384,32,241,2760
16384,32,242,2680
16384,32,243,2840
16384,32,244,2880
16384,32,245,2680
16384,32,246,2960
16384,32,247,2960
16384,32,248,2680
16384,32,249,2680
16384,32,250,2880
16384,32,251,2600
16384,32,252,2680
16384,32,253,2680
16384,32,254,2640
16384,32,255,2760
16384,32,256,2720
16384,32,257,2680
16384,32,258,2680
16384,32,259,2720
16384,32,260,2680
16384,32,261,2680
16384,32,262,2720
16384,32,263,2680
16384,32,264,2680
16384,32,265,2680
16384,32,266,2720
16384,32,267,2800
16384,32,268,2720
16384,32,269,2720
16384,32,270,2680
16384,32,271,2680
16384,32,272,2720
16384,32,273,2720
16384,32,274,2680
16384,32,275,2680
16384,32,276,2720
16384,32,277,2640
16384,32,278,2960
16384,32,279,2680
16384,32,280,2720
16384,32,281,2720
16384,32,282,2680
16384,32,283,2760
16384,32,284,2720
16384,32,285,2680
16384,32,286,3160
16384,32,287,2960
16384,32,288,2720
16384,32,289,2840
16384,32,290,2600
16384,32,291,2600
16384,32,292,2640
16384,32,293,3040
16384,32,294,2760
16384,32,295,2760
16384,32,296,2680
16384,32,297,2760
16384,32,298,2720
16384,32,299,2720
16384,32,300,2880
16384,32,301,2720
16384,32,302,2720
16384,32,303,2680
16384,32,304,2720
16384,32,305,2720
16384,32,306,2720
16384,32,307,2720
16384,32,308,2760
16384,32,309,2880
16384,32,310,2680
16384,32,311,2720
16384,32,312,2920
16384,32,313,2800
16384,32,314,2720
16384,32,315,2680
16384,32,316,2680
16384,32,317,2680
16384,32,318,2640
16384,32,319,2680
16384,32,320,2720
16384,32,321,2720
16384,32,322,2720
16384,32,323,2680
16384,32,324,2680
16384,32,325,2720
16384,32,326,2680
16384,32,327,3000
16384,32,328,2840
16384,32,329,2640
16384,32,330,2640
16384,32,331,2640
16384,32,332,2680
16384,32,333,2720
16384,32,334,3000
16384,32,335,2720
16384,32,336,2680
16384,32,337,2760
16384,32,338,2720
16384,32,339,2960
16384,32,340,3000
16384,32,341,2680
16384,32,342,2680
16384,32,343,2680
16384,32,344,3080
16384,32,345,2680
16384,32,346,2680
16384,32,347,2720
16384,32,348,2680
16384,32,349,2720
16384,32,350,2760
16384,32,351,2720
16384,32,352,2680
16384,32,353,2720
16384,32,354,2720
16384,32,355,2680
16384,32,356,2680
16384,32,357,2720
16384,32,358,2720
16384,32,359,2720
16384,32,360,2720
16384,32,361,2720
16384,32,362,2680
16384,32,363,2960
16384,32,364,2960
16384,32,365,2920
16384,32,366,2760
16384,32,367,2680
16384,32,368,2680
16384,32,369,2640
16384,32,370,2640
16384,32,371,2640
16384,32,372,2720
16384,32,373,2720
16384,32,374,2760
16384,32,375,2680
16384,32,376,2680
16384,32,377,2680
16384,32,378,2720
16384,32,379,2760
16384,32,380,2720
16384,32,381,2720
16384,32,382,2720
16384,32,383,2680
16384,32,384,2720
16384,32,385,2720
16384,32,386,2720
16384,32,387,2720
16384,32,388,2680
16384,32,389,2720
16384,32,390,2720
16384,32,391,2720
16384,32,392,2680
16384,32,393,2800
