particle_count,workgroup_size,frame,dispatch_ns
65536,512,0,5360
65536,512,1,4840
65536,512,2,4160
65536,512,3,4040
65536,512,4,4080
65536,512,5,4040
65536,512,6,4080
65536,512,7,4000
65536,512,8,4000
65536,512,9,4000
65536,512,10,4040
65536,512,11,4040
65536,512,12,4040
65536,512,13,4000
65536,512,14,4040
65536,512,15,4080
65536,512,16,4120
65536,512,17,4000
65536,512,18,4320
65536,512,19,4400
65536,512,20,4200
65536,512,21,4040
65536,512,22,4000
65536,512,23,4080
65536,512,24,4080
65536,512,25,4040
65536,512,26,4040
65536,512,27,4080
65536,512,28,4040
65536,512,29,4040
65536,512,30,3960
65536,512,31,4040
65536,512,32,3960
65536,512,33,4160
65536,512,34,4000
65536,512,35,4120
65536,512,36,4000
65536,512,37,4080
65536,512,38,4200
65536,512,39,4000
65536,512,40,4120
65536,512,41,4040
65536,512,42,4000
65536,512,43,4000
65536,512,44,4040
65536,512,45,4000
65536,512,46,4080
65536,512,47,4080
65536,512,48,4000
65536,512,49,4120
65536,512,50,3960
65536,512,51,4000
65536,512,52,4000
65536,512,53,4080
65536,512,54,4040
65536,512,55,4320
65536,512,56,4240
65536,512,57,4000
65536,512,58,3960
65536,512,59,4280
65536,512,60,4040
65536,512,61,4120
65536,512,62,4120
65536,512,63,4000
65536,512,64,3960
65536,512,65,4040
65536,512,66,4040
65536,512,67,4520
65536,512,68,4240
65536,512,69,3960
65536,512,70,4000
65536,512,71,4000
65536,512,72,4040
65536,512,73,4240
65536,512,74,4160
65536,512,75,4000
65536,512,76,3880
65536,512,77,3920
65536,512,78,3920
65536,512,79,3920
65536,512,80,3920
65536,512,81,4000
65536,512,82,3880
65536,512,83,4040
65536,512,84,4160
65536,512,85,3920
65536,512,86,3960
65536,512,87,3840
65536,512,88,3880
65536,512,89,3880
65536,512,90,3960
65536,512,91,3840
65536,512,92,4640
65536,512,93,4000
65536,512,94,4000
65536,512,95,3920
65536,512,96,3920
65536,512,97,3920
65536,512,98,3840
65536,512,99,3920
65536,512,100,3960
65536,512,101,3920
65536,512,102,3960
65536,512,103,3960
65536,512,104,3920
65536,512,105,3960
65536,512,106,3960
65536,512,107,3960
65536,512,108,3880
65536,512,109,4000
65536,512,110,3920
65536,512,111,3960
65536,512,112,4080
65536,512,113,4280
65536,512,114,3920
65536,512,115,3920
65536,512,116,4040
65536,512,117,4000
65536,512,118,3920
65536,512,119,3960
65536,512,120,4000
65536,512,121,4000
65536,512,122,3960
65536,512,123,4040
65536,512,124,3960
65536,512,125,4080
65536,512,126,3920
65536,512,127,4280
65536,512,128,4480
65536,512,129,3920
65536,512,130,3920
65536,512,131,3960
65536,512,132,3880
65536,512,133,3880
65536,512,134,3960
65536,512,135,3920
65536,512,136,3880
65536,512,137,3960
65536,512,138,3880
65536,512,139,3880
65536,512,140,3840
65536,512,141,3840
65536,512,142,3880
65536,512,143,3920
65536,512,144,3880
65536,512,145,3920
65536,512,146,3920
65536,512,147,3880
65536,512,148,3880
65536,512,149,3960
65536,512,150,3840
65536,512,151,3800
65536,512,152,3680
65536,512,153,3680
65536,512,154,3680
65536,512,155,3760
65536,512,156,3720
65536,512,157,3800
65536,512,158,3680
65536,512,159,3760
65536,512,160,3880
65536,512,161,3760
65536,512,162,3640
65536,512,163,3720
65536,512,164,3800
65536,512,165,3760
65536,512,166,3760
65536,512,167,3840
65536,512,168,4200
65536,512,169,4160
65536,512,170,3640
65536,512,171,3800
65536,512,172,3760
65536,512,173,3760
65536,512,174,4120
65536,512,175,3760
65536,512,176,3800
65536,512,177,3840
65536,512,178,3760
65536,512,179,3720
65536,512,180,3880
65536,512,181,4040
65536,512,182,4160
65536,512,183,3800
65536,512,184,3760
65536,512,185,3920
65536,512,186,3840
65536,512,187,3800
65536,512,188,4000
65536,512,189,4040
65536,512,190,3760
65536,512,191,3720
65536,512,192,3680
65536,512,193,3680
65536,512,194,3760
65536,512,195,3760
65536,512,196,3760
65536,512,197,3760
65536,512,198,3720
65536,512,199,3760
65536,512,200,3800
65536,512,201,4200
65536,512,202,3720
65536,512,203,3800
65536,512,204,3760
65536,512,205,3680
65536,512,206,3760
65536,512,207,3840
65536,512,208,4080
65536,512,209,3960
65536,512,210,3840
65536,512,211,3680
65536,512,212,3680
65536,512,213,3680
65536,512,214,3720
65536,512,215,3760
65536,512,216,3680
65536,512,217,3760
65536,512,218,3840
65536,512,219,3840
65536,512,220,3680
65536,512,221,3760
65536,512,222,3680
65536,512,223,3800
65536,512,224,3680
65536,512,225,3680
65536,512,226,3760
65536,512,227,3760
65536,512,228,3680
65536,512,229,3840
65536,512,230,4000
65536,512,231,4000
65536,512,232,3600
65536,512,233,3520
65536,512,234,3640
65536,512,235,3680
65536,512,236,3720
65536,512,237,4000
65536,512,238,3760
65536,512,239,3600
