particle_count,workgroup_size,frame,dispatch_ns
4194304,512,0,428600
4194304,512,1,575760
4194304,512,2,572720
4194304,512,3,576800
4194304,512,4,572400
4194304,512,5,573280
4194304,512,6,565360
4194304,512,7,570640
4194304,512,8,574920
4194304,512,9,574120
4194304,512,10,568840
4194304,512,11,570240
4194304,512,12,572600
4194304,512,13,571840
4194304,512,14,573520
4194304,512,15,571880
4194304,512,16,572000
4194304,512,17,571560
4194304,512,18,566040
4194304,512,19,571640
4194304,512,20,571120
4194304,512,21,569960
4194304,512,22,572280
4194304,512,23,571240
4194304,512,24,572040
4194304,512,25,572320
4194304,512,26,571840
4194304,512,27,569280
4194304,512,28,569480
4194304,512,29,569560
4194304,512,30,568040
4194304,512,31,572080
4194304,512,32,569920
4194304,512,33,570920
4194304,512,34,569120
4194304,512,35,571400
4194304,512,36,567560
4194304,512,37,571760
4194304,512,38,572240
4194304,512,39,570280
4194304,512,40,569000
4194304,512,41,570280
4194304,512,42,571440
4194304,512,43,571520
4194304,512,44,569640
4194304,512,45,572080
4194304,512,46,571520
4194304,512,47,568960
4194304,512,48,570880
4194304,512,49,568200
4194304,512,50,567200
4194304,512,51,569760
4194304,512,52,572160
4194304,512,53,568840
4194304,512,54,569720
4194304,512,55,569040
4194304,512,56,570320
4194304,512,57,570040
4194304,512,58,570400
4194304,512,59,570040
4194304,512,60,562720
4194304,512,61,571200
4194304,512,62,567120
4194304,512,63,565400
4194304,512,64,569200
4194304,512,65,570400
4194304,512,66,571880
4194304,512,67,570200
4194304,512,68,568160
4194304,512,69,569800
4194304,512,70,568120
4194304,512,71,570320
4194304,512,72,568320
4194304,512,73,571680
4194304,512,74,568800
4194304,512,75,567440
4194304,512,76,571000
4194304,512,77,569520
4194304,512,78,571120
4194304,512,79,564840
4194304,512,80,569000
4194304,512,81,566480
4194304,512,82,568240
4194304,512,83,569640
4194304,512,84,570840
4194304,512,85,571320
4194304,512,86,567600
4194304,512,87,571320
4194304,512,88,568520
4194304,512,89,568640
4194304,512,90,568800
4194304,512,91,569160
4194304,512,92,570400
4194304,512,93,569920
4194304,512,94,569720
4194304,512,95,568640
4194304,512,96,569080
4194304,512,97,567680
4194304,512,98,572560
4194304,512,99,568160
4194304,512,100,570600
4194304,512,101,571080
4194304,512,102,570040
4194304,512,103,568880
4194304,512,104,567400
4194304,512,105,564160
4194304,512,106,568360
4194304,512,107,570880
4194304,512,108,568160
4194304,512,109,570320
4194304,512,110,565840
4194304,512,111,569760
4194304,512,112,568720
4194304,512,113,570200
4194304,512,114,568680
4194304,512,115,565560
4194304,512,116,570400
4194304,512,117,564120
4194304,512,118,568880
4194304,512,119,564920
4194304,512,120,568520
4194304,512,121,570200
4194304,512,122,564400
4194304,512,123,564080
4194304,512,124,570080
4194304,512,125,568200
4194304,512,126,568280
4194304,512,127,568320
4194304,512,128,569400
4194304,512,129,570920
