particle_count,workgroup_size,frame,dispatch_ns
16384,256,0,4080
16384,256,1,3440
16384,256,2,2680
16384,256,3,2680
16384,256,4,2640
16384,256,5,2720
16384,256,6,2760
16384,256,7,2720
16384,256,8,2760
16384,256,9,2720
16384,256,10,2720
16384,256,11,2720
16384,256,12,2720
16384,256,13,2720
16384,256,14,2720
16384,256,15,2720
16384,256,16,2680
16384,256,17,2720
16384,256,18,2720
16384,256,19,2880
16384,256,20,2720
16384,256,21,2720
16384,256,22,2720
16384,256,23,2720
16384,256,24,2760
16384,256,25,3040
16384,256,26,3000
16384,256,27,2800
16384,256,28,2760
16384,256,29,2840
16384,256,30,2720
16384,256,31,2720
16384,256,32,2720
16384,256,33,2760
16384,256,34,2840
16384,256,35,2800
16384,256,36,2760
16384,256,37,2800
16384,256,38,2800
16384,256,39,2800
16384,256,40,2720
16384,256,41,2760
16384,256,42,2800
16384,256,43,3720
16384,256,44,3040
16384,256,45,2800
16384,256,46,2800
16384,256,47,2800
16384,256,48,2800
16384,256,49,2720
16384,256,50,2800
16384,256,51,2840
16384,256,52,2840
16384,256,53,2800
16384,256,54,2760
16384,256,55,2800
16384,256,56,2800
16384,256,57,2720
16384,256,58,3080
16384,256,59,2840
16384,256,60,2760
16384,256,61,2960
16384,256,62,3360
16384,256,63,2720
16384,256,64,2720
16384,256,65,2760
16384,256,66,2720
16384,256,67,2680
16384,256,68,2680
16384,256,69,2720
16384,256,70,2720
16384,256,71,2720
16384,256,72,2760
16384,256,73,2760
16384,256,74,2720
16384,256,75,2720
16384,256,76,2720
16384,256,77,2720
16384,256,78,2720
16384,256,79,2680
16384,256,80,2680
16384,256,81,2720
16384,256,82,2880
16384,256,83,3000
16384,256,84,2680
16384,256,85,2720
16384,256,86,2720
16384,256,87,2720
16384,256,88,2720
16384,256,89,2680
16384,256,90,2720
16384,256,91,2720
16384,256,92,2720
16384,256,93,2680
16384,256,94,2840
16384,256,95,2720
16384,256,96,3040
16384,256,97,2720
16384,256,98,2720
16384,256,99,2680
16384,256,100,2720
16384,256,101,2800
16384,256,102,2880
16384,256,103,2840
16384,256,104,2680
16384,256,105,2680
16384,256,106,2640
16384,256,107,2800
16384,256,108,2760
16384,256,109,2720
