particle_count,workgroup_size,frame,dispatch_ns
2097152,64,0,82840
2097152,64,1,91920
2097152,64,2,85440
2097152,64,3,92240
2097152,64,4,87800
2097152,64,5,84240
2097152,64,6,89760
2097152,64,7,82520
2097152,64,8,82760
2097152,64,9,82320
2097152,64,10,84200
2097152,64,11,82360
2097152,64,12,77200
2097152,64,13,88600
2097152,64,14,79680
2097152,64,15,90600
2097152,64,16,77600
2097152,64,17,80640
2097152,64,18,84400
2097152,64,19,82280
2097152,64,20,76760
2097152,64,21,88160
2097152,64,22,78200
2097152,64,23,92880
2097152,64,24,77160
2097152,64,25,79720
2097152,64,26,83800
2097152,64,27,81760
2097152,64,28,77280
2097152,64,29,87720
2097152,64,30,78240
2097152,64,31,79680
2097152,64,32,82000
2097152,64,33,81400
2097152,64,34,76600
2097152,64,35,90640
2097152,64,36,77800
2097152,64,37,80360
2097152,64,38,85360
2097152,64,39,81640
2097152,64,40,76480
2097152,64,41,87280
2097152,64,42,77520
2097152,64,43,81440
2097152,64,44,83880
2097152,64,45,82640
2097152,64,46,76880
2097152,64,47,91520
2097152,64,48,77680
2097152,64,49,80520
2097152,64,50,76800
2097152,64,51,83480
2097152,64,52,76960
2097152,64,53,80720
2097152,64,54,85480
2097152,64,55,81960
2097152,64,56,76640
2097152,64,57,89240
2097152,64,58,78760
2097152,64,59,81440
2097152,64,60,84880
2097152,64,61,82280
2097152,64,62,77000
2097152,64,63,92640
2097152,64,64,79240
2097152,64,65,81080
2097152,64,66,78640
2097152,64,67,81040
2097152,64,68,82800
2097152,64,69,80480
2097152,64,70,76920
2097152,64,71,89920
2097152,64,72,78920
2097152,64,73,80560
2097152,64,74,84400
2097152,64,75,83080
2097152,64,76,77280
2097152,64,77,88920
2097152,64,78,78040
2097152,64,79,82280
2097152,64,80,83920
2097152,64,81,82080
2097152,64,82,91960
2097152,64,83,82280
2097152,64,84,76280
2097152,64,85,88360
2097152,64,86,79360
2097152,64,87,81880
2097152,64,88,83960
2097152,64,89,81440
2097152,64,90,77800
2097152,64,91,92400
2097152,64,92,78120
2097152,64,93,80520
2097152,64,94,86840
2097152,64,95,81760
2097152,64,96,77200
2097152,64,97,90760
2097152,64,98,77720
2097152,64,99,81960
2097152,64,100,87440
2097152,64,101,83040
2097152,64,102,77240
2097152,64,103,93200
2097152,64,104,77800
2097152,64,105,79800
2097152,64,106,87440
2097152,64,107,82680
2097152,64,108,76680
2097152,64,109,90520
2097152,64,110,78560
2097152,64,111,80840
2097152,64,112,86400
2097152,64,113,82320
2097152,64,114,78360
2097152,64,115,93240
2097152,64,116,78200
2097152,64,117,80640
2097152,64,118,77880
2097152,64,119,83120
2097152,64,120,77920
2097152,64,121,81000
2097152,64,122,87080
2097152,64,123,81640
2097152,64,124,76920
2097152,64,125,87120
2097152,64,126,78640
2097152,64,127,80680
2097152,64,128,87840
2097152,64,129,82680
2097152,64,130,77280
2097152,64,131,91600
2097152,64,132,78920
2097152,64,133,81520
2097152,64,134,87520
2097152,64,135,81840
2097152,64,136,77440
2097152,64,137,82200
2097152,64,138,77400
2097152,64,139,90400
2097152,64,140,77600
2097152,64,141,79640
2097152,64,142,88000
2097152,64,143,82360
2097152,64,144,77560
2097152,64,145,89240
2097152,64,146,78360
2097152,64,147,81040
2097152,64,148,87480
2097152,64,149,81920
2097152,64,150,76960
2097152,64,151,83080
2097152,64,152,77760
2097152,64,153,89600
2097152,64,154,78560
2097152,64,155,81480
2097152,64,156,85640
2097152,64,157,81760
2097152,64,158,77720
2097152,64,159,91920
2097152,64,160,79120
2097152,64,161,90520
2097152,64,162,78240
2097152,64,163,81240
2097152,64,164,86080
2097152,64,165,82120
2097152,64,166,78440
2097152,64,167,92560
2097152,64,168,78760
2097152,64,169,172240
2097152,64,170,80000
2097152,64,171,76520
2097152,64,172,85680
2097152,64,173,78920
2097152,64,174,77720
2097152,64,175,90280
2097152,64,176,80440
2097152,64,177,78600
2097152,64,178,89480
2097152,64,179,81840
2097152,64,180,80160
2097152,64,181,83440
2097152,64,182,82000
2097152,64,183,94400
2097152,64,184,82080
2097152,64,185,82880
2097152,64,186,90800
2097152,64,187,83960
2097152,64,188,81800
2097152,64,189,83160
2097152,64,190,87160
2097152,64,191,83520
2097152,64,192,82280
2097152,64,193,91800
2097152,64,194,84920
2097152,64,195,83200
2097152,64,196,91080
2097152,64,197,85600
2097152,64,198,84120
2097152,64,199,94960
2097152,64,200,180800
2097152,64,201,149080
2097152,64,202,99600
2097152,64,203,88400
2097152,64,204,84240
2097152,64,205,91960
2097152,64,206,88720
2097152,64,207,97520
2097152,64,208,86120
2097152,64,209,90120
2097152,64,210,86760
2097152,64,211,93440
2097152,64,212,94240
2097152,64,213,87680
2097152,64,214,94360
2097152,64,215,93600
2097152,64,216,87160
2097152,64,217,85920
2097152,64,218,96760
2097152,64,219,86080
2097152,64,220,85520
2097152,64,221,86000
2097152,64,222,98680
2097152,64,223,85920
2097152,64,224,86400
2097152,64,225,95120
2097152,64,226,87400
2097152,64,227,86160
2097152,64,228,93440
2097152,64,229,86880
2097152,64,230,87040
2097152,64,231,84960
2097152,64,232,95280
2097152,64,233,86480
2097152,64,234,85720
2097152,64,235,93360
2097152,64,236,87240
2097152,64,237,86240
2097152,64,238,85920
2097152,64,239,97360
2097152,64,240,87200
2097152,64,241,84600
2097152,64,242,97440
2097152,64,243,87440
2097152,64,244,85280
2097152,64,245,84360
2097152,64,246,95320
2097152,64,247,85480
2097152,64,248,84960
2097152,64,249,93000
2097152,64,250,87080
2097152,64,251,85760
2097152,64,252,85400
2097152,64,253,93840
2097152,64,254,86840
2097152,64,255,84760
2097152,64,256,94280
2097152,64,257,86600
2097152,64,258,85640
2097152,64,259,84760
2097152,64,260,93440
2097152,64,261,85640
2097152,64,262,85560
2097152,64,263,96720
2097152,64,264,87040
2097152,64,265,85120
2097152,64,266,85240
2097152,64,267,93720
2097152,64,268,85680
2097152,64,269,84360
2097152,64,270,93560
2097152,64,271,86520
2097152,64,272,85360
2097152,64,273,83960
2097152,64,274,95000
2097152,64,275,85200
2097152,64,276,84880
2097152,64,277,91400
2097152,64,278,87200
2097152,64,279,85360
2097152,64,280,86200
2097152,64,281,88000
2097152,64,282,86120
2097152,64,283,85040
2097152,64,284,93960
2097152,64,285,86000
2097152,64,286,84680
2097152,64,287,91160
2097152,64,288,86000
2097152,64,289,84400
2097152,64,290,85200
2097152,64,291,92600
2097152,64,292,85200
2097152,64,293,85160
2097152,64,294,93240
2097152,64,295,85840
2097152,64,296,85320
2097152,64,297,83560
2097152,64,298,93240
2097152,64,299,84280
2097152,64,300,84320
2097152,64,301,92480
2097152,64,302,86320
2097152,64,303,85040
2097152,64,304,84920
2097152,64,305,92920
2097152,64,306,85360
2097152,64,307,84960
2097152,64,308,96840
2097152,64,309,86480
2097152,64,310,84440
2097152,64,311,88800
2097152,64,312,86640
2097152,64,313,84240
2097152,64,314,84400
2097152,64,315,94840
2097152,64,316,85680
2097152,64,317,84200
2097152,64,318,91760
2097152,64,319,85880
2097152,64,320,84720
2097152,64,321,91120
2097152,64,322,85320
2097152,64,323,85120
2097152,64,324,84760
2097152,64,325,93680
2097152,64,326,84200
2097152,64,327,84000
2097152,64,328,92000
2097152,64,329,85840
2097152,64,330,84200
2097152,64,331,91120
2097152,64,332,86720
2097152,64,333,83960
2097152,64,334,94560
2097152,64,335,86360
2097152,64,336,84560
2097152,64,337,83560
2097152,64,338,93520
2097152,64,339,84000
2097152,64,340,83920
2097152,64,341,90600
2097152,64,342,86160
2097152,64,343,84800
2097152,64,344,93320
2097152,64,345,86080
2097152,64,346,84760
2097152,64,347,94040
2097152,64,348,85520
2097152,64,349,84320
2097152,64,350,93080
2097152,64,351,85920
2097152,64,352,83440
2097152,64,353,89880
2097152,64,354,86320
2097152,64,355,84040
2097152,64,356,83400
2097152,64,357,91960
2097152,64,358,85200
2097152,64,359,84120
2097152,64,360,92520
2097152,64,361,84680
2097152,64,362,84360
2097152,64,363,93360
2097152,64,364,84880
2097152,64,365,82680
2097152,64,366,94080
2097152,64,367,85760
2097152,64,368,82520
2097152,64,369,90920
2097152,64,370,86480
2097152,64,371,82560
2097152,64,372,83600
2097152,64,373,94040
2097152,64,374,83480
2097152,64,375,84480
2097152,64,376,92160
2097152,64,377,84000
2097152,64,378,82680
2097152,64,379,92160
2097152,64,380,85000
2097152,64,381,82560
2097152,64,382,95600
2097152,64,383,83600
2097152,64,384,83440
2097152,64,385,81840
2097152,64,386,94400
2097152,64,387,82600
2097152,64,388,83200
2097152,64,389,82040
2097152,64,390,87280
2097152,64,391,82680
2097152,64,392,82760
2097152,64,393,91640
2097152,64,394,84080
2097152,64,395,82280
2097152,64,396,92640
2097152,64,397,83880
2097152,64,398,83600
2097152,64,399,83440
2097152,64,400,97360
2097152,64,401,82560
2097152,64,402,84160
2097152,64,403,97040
2097152,64,404,84440
2097152,64,405,83280
2097152,64,406,92520
2097152,64,407,83720
2097152,64,408,82240
2097152,64,409,82920
2097152,64,410,95320
2097152,64,411,84320
2097152,64,412,83320
2097152,64,413,92400
2097152,64,414,84120
2097152,64,415,87160
2097152,64,416,92840
2097152,64,417,83600
2097152,64,418,84360
2097152,64,419,84120
2097152,64,420,93680
2097152,64,421,81560
2097152,64,422,82360
2097152,64,423,96440
2097152,64,424,83600
2097152,64,425,82240
2097152,64,426,81840
2097152,64,427,100760
2097152,64,428,83200
2097152,64,429,82680
2097152,64,430,96080
2097152,64,431,85040
2097152,64,432,81960
2097152,64,433,81920
2097152,64,434,97920
2097152,64,435,82040
2097152,64,436,82760
2097152,64,437,92240
2097152,64,438,83840
2097152,64,439,83000
2097152,64,440,91200
2097152,64,441,84080
2097152,64,442,81600
2097152,64,443,82240
2097152,64,444,99000
2097152,64,445,82080
2097152,64,446,83800
2097152,64,447,94800
2097152,64,448,84800
2097152,64,449,84240
2097152,64,450,83080
2097152,64,451,94480
2097152,64,452,83960
2097152,64,453,83120
2097152,64,454,97800
2097152,64,455,83120
2097152,64,456,85000
2097152,64,457,94280
2097152,64,458,84000
2097152,64,459,82640
2097152,64,460,83520
2097152,64,461,86280
2097152,64,462,83640
2097152,64,463,84480
2097152,64,464,97560
2097152,64,465,82720
2097152,64,466,83120
2097152,64,467,95960
2097152,64,468,85120
2097152,64,469,81680
2097152,64,470,99000
2097152,64,471,85840
2097152,64,472,83080
2097152,64,473,96480
2097152,64,474,84440
2097152,64,475,84600
2097152,64,476,94160
2097152,64,477,83840
2097152,64,478,82960
2097152,64,479,99600
2097152,64,480,84600
2097152,64,481,83040
2097152,64,482,102920
2097152,64,483,83960
2097152,64,484,82840
2097152,64,485,92160
2097152,64,486,87320
2097152,64,487,85200
2097152,64,488,83720
2097152,64,489,87360
2097152,64,490,85520
2097152,64,491,83000
2097152,64,492,85760
2097152,64,493,84720
2097152,64,494,82680
