particle_count,workgroup_size,frame,dispatch_ns
2097152,1024,0,83800
2097152,1024,1,90360
2097152,1024,2,81240
2097152,1024,3,92320
2097152,1024,4,86600
2097152,1024,5,84160
2097152,1024,6,87960
2097152,1024,7,84760
2097152,1024,8,81640
2097152,1024,9,83120
2097152,1024,10,83720
2097152,1024,11,82360
2097152,1024,12,82360
2097152,1024,13,82240
2097152,1024,14,81720
2097152,1024,15,82320
2097152,1024,16,76040
2097152,1024,17,90640
2097152,1024,18,75320
2097152,1024,19,82880
2097152,1024,20,79000
2097152,1024,21,82160
2097152,1024,22,86640
2097152,1024,23,82800
2097152,1024,24,75320
2097152,1024,25,91440
2097152,1024,26,75800
2097152,1024,27,80800
2097152,1024,28,80760
2097152,1024,29,82120
2097152,1024,30,74480
2097152,1024,31,93360
2097152,1024,32,75160
2097152,1024,33,81320
2097152,1024,34,81760
2097152,1024,35,82440
2097152,1024,36,75440
2097152,1024,37,92400
2097152,1024,38,75440
2097152,1024,39,82120
2097152,1024,40,82360
2097152,1024,41,82440
2097152,1024,42,74960
2097152,1024,43,91800
2097152,1024,44,76280
2097152,1024,45,80840
2097152,1024,46,82280
2097152,1024,47,83400
2097152,1024,48,74600
2097152,1024,49,92440
2097152,1024,50,76360
2097152,1024,51,80840
2097152,1024,52,81440
2097152,1024,53,83160
2097152,1024,54,78440
2097152,1024,55,90960
2097152,1024,56,75920
2097152,1024,57,82120
2097152,1024,58,82440
2097152,1024,59,81560
2097152,1024,60,74920
2097152,1024,61,94720
2097152,1024,62,75720
2097152,1024,63,93400
2097152,1024,64,76040
2097152,1024,65,81040
2097152,1024,66,83080
2097152,1024,67,82640
2097152,1024,68,74800
2097152,1024,69,92240
2097152,1024,70,75120
2097152,1024,71,81640
2097152,1024,72,82360
2097152,1024,73,81960
2097152,1024,74,76160
2097152,1024,75,92040
2097152,1024,76,74840
2097152,1024,77,81680
2097152,1024,78,85360
2097152,1024,79,82760
2097152,1024,80,84560
2097152,1024,81,82520
2097152,1024,82,75880
2097152,1024,83,89680
2097152,1024,84,75160
2097152,1024,85,81960
2097152,1024,86,74880
2097152,1024,87,82800
2097152,1024,88,75280
2097152,1024,89,81760
2097152,1024,90,82720
2097152,1024,91,82360
2097152,1024,92,74840
2097152,1024,93,92600
2097152,1024,94,74600
2097152,1024,95,80800
2097152,1024,96,85000
2097152,1024,97,82080
2097152,1024,98,74640
2097152,1024,99,92400
2097152,1024,100,75880
2097152,1024,101,81440
2097152,1024,102,82240
2097152,1024,103,83040
2097152,1024,104,75320
2097152,1024,105,93120
2097152,1024,106,76280
2097152,1024,107,81080
2097152,1024,108,82920
2097152,1024,109,81520
2097152,1024,110,75280
2097152,1024,111,82000
2097152,1024,112,77240
2097152,1024,113,81800
2097152,1024,114,75840
2097152,1024,115,83600
2097152,1024,116,75040
2097152,1024,117,94520
2097152,1024,118,78400
2097152,1024,119,80600
2097152,1024,120,81720
2097152,1024,121,82440
2097152,1024,122,77400
